district,Sex,Age,month of estimation,population
MP - Gert Sibande District Municipality (DC30),Male,10-14,2019-09-30,61155.65301
MP - Gert Sibande District Municipality (DC30),Male,15-19,2019-09-30,50835.43313
MP - Gert Sibande District Municipality (DC30),Male,18-34,2019-09-30,180405.53736000002
MP - Gert Sibande District Municipality (DC30),Male,35-49,2019-09-30,116960.11015
MP - Gert Sibande District Municipality (DC30),Male,5-9,2019-09-30,60623.37245
MP - Gert Sibande District Municipality (DC30),Male,50-59,2019-09-30,41511.47883
MP - Gert Sibande District Municipality (DC30),Male,60+,2019-09-30,41991.842066
MP - Nkangala District Municipality (DC31),Female,0-4,2019-09-30,66702.6137
MP - Nkangala District Municipality (DC31),Female,10-14,2019-09-30,71896.11581
MP - Nkangala District Municipality (DC31),Female,15-19,2019-09-30,60329.77006
MP - Nkangala District Municipality (DC31),Female,18-34,2019-09-30,214006.93589999998
MP - Nkangala District Municipality (DC31),Female,35-49,2019-09-30,161243.41448
MP - Nkangala District Municipality (DC31),Female,5-9,2019-09-30,71909.49914
MP - Nkangala District Municipality (DC31),Female,50-59,2019-09-30,65624.72002000001
MP - Nkangala District Municipality (DC31),Female,60+,2019-09-30,72910.655771
MP - Nkangala District Municipality (DC31),Male,0-4,2019-09-30,68287.59111
MP - Nkangala District Municipality (DC31),Male,10-14,2019-09-30,73069.35508
MP - Nkangala District Municipality (DC31),Male,15-19,2019-09-30,61734.4947
MP - Nkangala District Municipality (DC31),Male,18-34,2019-09-30,247475.29133
MP - Nkangala District Municipality (DC31),Male,35-49,2019-09-30,174620.20119
MP - Nkangala District Municipality (DC31),Male,5-9,2019-09-30,73272.61018
MP - Nkangala District Municipality (DC31),Male,50-59,2019-09-30,55987.96146
MP - Nkangala District Municipality (DC31),Male,60+,2019-09-30,51162.105185
NC - Frances Baard District Municipality (DC9),Female,0-4,2019-09-30,20048.49038
NC - Frances Baard District Municipality (DC9),Female,10-14,2019-09-30,19839.21968
NC - Frances Baard District Municipality (DC9),Female,15-19,2019-09-30,16121.47103
NC - Frances Baard District Municipality (DC9),Female,18-34,2019-09-30,47458.98131
NC - Frances Baard District Municipality (DC9),Female,35-49,2019-09-30,39027.23453
NC - Frances Baard District Municipality (DC9),Female,5-9,2019-09-30,20538.43818
NC - Frances Baard District Municipality (DC9),Female,50-59,2019-09-30,18715.895779
NC - Frances Baard District Municipality (DC9),Female,60+,2019-09-30,25606.222753000002
NC - Frances Baard District Municipality (DC9),Male,0-4,2019-09-30,21021.92368
NC - Frances Baard District Municipality (DC9),Male,10-14,2019-09-30,20921.45085
NC - Frances Baard District Municipality (DC9),Male,15-19,2019-09-30,16330.43724
NC - Frances Baard District Municipality (DC9),Male,18-34,2019-09-30,50471.876079999995
NC - Frances Baard District Municipality (DC9),Male,35-49,2019-09-30,42140.35626
NC - Frances Baard District Municipality (DC9),Male,5-9,2019-09-30,21897.50196
NC - Frances Baard District Municipality (DC9),Male,50-59,2019-09-30,15867.096342
NC - Frances Baard District Municipality (DC9),Male,60+,2019-09-30,15040.9139147
NC - John Taolo Gaetsewe District Municipality (DC45),Female,0-4,2019-09-30,15227.03627
NC - John Taolo Gaetsewe District Municipality (DC45),Female,10-14,2019-09-30,14238.42031
NC - John Taolo Gaetsewe District Municipality (DC45),Female,15-19,2019-09-30,11766.8867
NC - John Taolo Gaetsewe District Municipality (DC45),Female,18-34,2019-09-30,35448.34579
NC - John Taolo Gaetsewe District Municipality (DC45),Female,35-49,2019-09-30,23385.478778
NC - John Taolo Gaetsewe District Municipality (DC45),Female,5-9,2019-09-30,15056.44514
NC - John Taolo Gaetsewe District Municipality (DC45),Female,50-59,2019-09-30,9934.27047
NC - John Taolo Gaetsewe District Municipality (DC45),Female,60+,2019-09-30,13579.678992000001
NC - John Taolo Gaetsewe District Municipality (DC45),Male,0-4,2019-09-30,15478.06691
NC - John Taolo Gaetsewe District Municipality (DC45),Male,10-14,2019-09-30,13558.33971
NC - John Taolo Gaetsewe District Municipality (DC45),Male,15-19,2019-09-30,10811.9753
NC - John Taolo Gaetsewe District Municipality (DC45),Male,18-34,2019-09-30,34805.89222
NC - John Taolo Gaetsewe District Municipality (DC45),Male,35-49,2019-09-30,24332.288220000002
NC - John Taolo Gaetsewe District Municipality (DC45),Male,5-9,2019-09-30,14979.0811
NC - John Taolo Gaetsewe District Municipality (DC45),Male,50-59,2019-09-30,7782.001251000001
NC - John Taolo Gaetsewe District Municipality (DC45),Male,60+,2019-09-30,8225.4704035
NC - Namakwa District Municipality (DC6),Female,0-4,2019-09-30,4698.359747
NC - Namakwa District Municipality (DC6),Female,10-14,2019-09-30,4958.272126
NC - Namakwa District Municipality (DC6),Female,15-19,2019-09-30,4451.470593
NC - Namakwa District Municipality (DC6),Female,18-34,2019-09-30,14087.171429
NC - Namakwa District Municipality (DC6),Female,35-49,2019-09-30,11367.791922
NC - Namakwa District Municipality (DC6),Female,5-9,2019-09-30,4818.333718
NC - Namakwa District Municipality (DC6),Female,50-59,2019-09-30,6753.1712
NC - Namakwa District Municipality (DC6),Female,60+,2019-09-30,8354.4357641
NC - Namakwa District Municipality (DC6),Male,0-4,2019-09-30,4680.781449
NC - Namakwa District Municipality (DC6),Male,10-14,2019-09-30,4877.896371
NC - Namakwa District Municipality (DC6),Male,15-19,2019-09-30,4431.549959
NC - Namakwa District Municipality (DC6),Male,18-34,2019-09-30,14092.923703
NC - Namakwa District Municipality (DC6),Male,35-49,2019-09-30,11825.847009000001
NC - Namakwa District Municipality (DC6),Male,5-9,2019-09-30,4885.879214
NC - Namakwa District Municipality (DC6),Male,50-59,2019-09-30,5889.80229
NC - Namakwa District Municipality (DC6),Male,60+,2019-09-30,6368.0619698
NC - Pixley ka Seme District Municipality (DC7),Female,0-4,2019-09-30,10545.16163
NC - Pixley ka Seme District Municipality (DC7),Female,10-14,2019-09-30,10090.49587
NC - Pixley ka Seme District Municipality (DC7),Female,15-19,2019-09-30,8496.834029
NC - Pixley ka Seme District Municipality (DC7),Female,18-34,2019-09-30,23745.127038
NC - Pixley ka Seme District Municipality (DC7),Female,35-49,2019-09-30,16934.644327
NC - Pixley ka Seme District Municipality (DC7),Female,5-9,2019-09-30,10247.8772
NC - Pixley ka Seme District Municipality (DC7),Female,50-59,2019-09-30,9261.149605999999
NC - Pixley ka Seme District Municipality (DC7),Female,60+,2019-09-30,14643.726630000001
NC - Pixley ka Seme District Municipality (DC7),Male,0-4,2019-09-30,10902.85813
NC - Pixley ka Seme District Municipality (DC7),Male,10-14,2019-09-30,10203.94842
NC - Pixley ka Seme District Municipality (DC7),Male,15-19,2019-09-30,8447.043415
NC - Pixley ka Seme District Municipality (DC7),Male,18-34,2019-09-30,24968.88992
NC - Pixley ka Seme District Municipality (DC7),Male,35-49,2019-09-30,18985.576614
NC - Pixley ka Seme District Municipality (DC7),Male,5-9,2019-09-30,10621.52249
NC - Pixley ka Seme District Municipality (DC7),Male,50-59,2019-09-30,8338.153205999999
NC - Pixley ka Seme District Municipality (DC7),Male,60+,2019-09-30,10636.739964
NC- ZF Mgcawu (DC8),Female,0-4,2019-09-30,12635.75659
NC- ZF Mgcawu (DC8),Female,10-14,2019-09-30,11906.7821
NC- ZF Mgcawu (DC8),Female,15-19,2019-09-30,10849.16409
NC- ZF Mgcawu (DC8),Female,18-34,2019-09-30,36417.40626
NC- ZF Mgcawu (DC8),Female,35-49,2019-09-30,26854.516498
NC- ZF Mgcawu (DC8),Female,5-9,2019-09-30,12351.67751
NC- ZF Mgcawu (DC8),Female,50-59,2019-09-30,11861.582408
NC- ZF Mgcawu (DC8),Female,60+,2019-09-30,15170.927403
NC- ZF Mgcawu (DC8),Male,0-4,2019-09-30,12802.18544
NC- ZF Mgcawu (DC8),Male,10-14,2019-09-30,11608.06038
NC- ZF Mgcawu (DC8),Male,15-19,2019-09-30,10619.16926
NC- ZF Mgcawu (DC8),Male,18-34,2019-09-30,39713.60358
NC- ZF Mgcawu (DC8),Male,35-49,2019-09-30,30007.287276
NC- ZF Mgcawu (DC8),Male,5-9,2019-09-30,12518.81434
NC- ZF Mgcawu (DC8),Male,50-59,2019-09-30,10619.555431
NC- ZF Mgcawu (DC8),Male,60+,2019-09-30,10377.4601604
NW - Bojanala Platinum District Municipality (DC37),Female,0-4,2019-09-30,81876.95688
NW - Bojanala Platinum District Municipality (DC37),Female,10-14,2019-09-30,78926.29043
NW - Bojanala Platinum District Municipality (DC37),Female,15-19,2019-09-30,62377.77143
NW - Bojanala Platinum District Municipality (DC37),Female,18-34,2019-09-30,223210.15837
NW - Bojanala Platinum District Municipality (DC37),Female,35-49,2019-09-30,182045.91366999998
NW - Bojanala Platinum District Municipality (DC37),Female,5-9,2019-09-30,83646.13883
NW - Bojanala Platinum District Municipality (DC37),Female,50-59,2019-09-30,75096.31459
NW - Bojanala Platinum District Municipality (DC37),Female,60+,2019-09-30,86501.5471
NW - Bojanala Platinum District Municipality (DC37),Male,0-4,2019-09-30,83432.01344
NW - Bojanala Platinum District Municipality (DC37),Male,10-14,2019-09-30,81572.05337
NW - Bojanala Platinum District Municipality (DC37),Male,15-19,2019-09-30,66043.58507
NW - Bojanala Platinum District Municipality (DC37),Male,18-34,2019-09-30,282445.96168
NW - Bojanala Platinum District Municipality (DC37),Male,35-49,2019-09-30,238075.73833
NW - Bojanala Platinum District Municipality (DC37),Male,5-9,2019-09-30,86243.02879
NW - Bojanala Platinum District Municipality (DC37),Male,50-59,2019-09-30,89402.78582
NW - Bojanala Platinum District Municipality (DC37),Male,60+,2019-09-30,76072.603751
NW - Dr Kenneth Kaunda District Municipality (DC40),Female,0-4,2019-09-30,36965.28841
NW - Dr Kenneth Kaunda District Municipality (DC40),Female,10-14,2019-09-30,37083.34417
NW - Dr Kenneth Kaunda District Municipality (DC40),Female,15-19,2019-09-30,31972.38642
NW - Dr Kenneth Kaunda District Municipality (DC40),Female,18-34,2019-09-30,99303.23382
NW - Dr Kenneth Kaunda District Municipality (DC40),Female,35-49,2019-09-30,81407.58939
NW - Dr Kenneth Kaunda District Municipality (DC40),Female,5-9,2019-09-30,37448.27214
NW - Dr Kenneth Kaunda District Municipality (DC40),Female,50-59,2019-09-30,37018.17322
NW - Dr Kenneth Kaunda District Municipality (DC40),Female,60+,2019-09-30,38049.112539
NW - Dr Kenneth Kaunda District Municipality (DC40),Male,0-4,2019-09-30,37265.12292
NW - Dr Kenneth Kaunda District Municipality (DC40),Male,10-14,2019-09-30,37077.05678
NW - Dr Kenneth Kaunda District Municipality (DC40),Male,15-19,2019-09-30,31336.73808
NW - Dr Kenneth Kaunda District Municipality (DC40),Male,18-34,2019-09-30,99857.4363
NW - Dr Kenneth Kaunda District Municipality (DC40),Male,35-49,2019-09-30,78747.87516
NW - Dr Kenneth Kaunda District Municipality (DC40),Male,5-9,2019-09-30,37850.04775
NW - Dr Kenneth Kaunda District Municipality (DC40),Male,50-59,2019-09-30,35064.35858
NW - Dr Kenneth Kaunda District Municipality (DC40),Male,60+,2019-09-30,29171.124877000002
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Female,0-4,2019-09-30,24936.9404
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Female,10-14,2019-09-30,29014.45929
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Female,15-19,2019-09-30,22313.08116
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Female,18-34,2019-09-30,55762.268809999994
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Female,35-49,2019-09-30,37853.92039
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Female,5-9,2019-09-30,27867.76831
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Female,50-59,2019-09-30,18223.741137
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Female,60+,2019-09-30,29546.288276
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Male,0-4,2019-09-30,25307.52627
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Male,10-14,2019-09-30,28727.84892
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Male,15-19,2019-09-30,21809.86317
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Male,18-34,2019-09-30,52473.297999999995
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Male,35-49,2019-09-30,31820.057142999998
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Male,5-9,2019-09-30,28112.72244
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Male,50-59,2019-09-30,14322.029562
NW - Dr Ruth Segomotsi Mompati District Municipality (DC39),Male,60+,2019-09-30,17523.906902
NW - Ngaka Modiri Molema District Municipality (DC38),Female,0-4,2019-09-30,45352.21776
NW - Ngaka Modiri Molema District Municipality (DC38),Female,10-14,2019-09-30,49002.57472
NW - Ngaka Modiri Molema District Municipality (DC38),Female,15-19,2019-09-30,39543.30217
NW - Ngaka Modiri Molema District Municipality (DC38),Female,18-34,2019-09-30,110821.15734
NW - Ngaka Modiri Molema District Municipality (DC38),Female,35-49,2019-09-30,80478.49882000001
NW - Ngaka Modiri Molema District Municipality (DC38),Female,5-9,2019-09-30,48618.24837
NW - Ngaka Modiri Molema District Municipality (DC38),Female,50-59,2019-09-30,36670.211169999995
NW - Ngaka Modiri Molema District Municipality (DC38),Female,60+,2019-09-30,49448.093953
NW - Ngaka Modiri Molema District Municipality (DC38),Male,0-4,2019-09-30,46029.415
NW - Ngaka Modiri Molema District Municipality (DC38),Male,10-14,2019-09-30,48855.4529
NW - Ngaka Modiri Molema District Municipality (DC38),Male,15-19,2019-09-30,39600.69407
NW - Ngaka Modiri Molema District Municipality (DC38),Male,18-34,2019-09-30,113355.09655
NW - Ngaka Modiri Molema District Municipality (DC38),Male,35-49,2019-09-30,76977.79993000001
NW - Ngaka Modiri Molema District Municipality (DC38),Male,5-9,2019-09-30,49156.20601
NW - Ngaka Modiri Molema District Municipality (DC38),Male,50-59,2019-09-30,31219.99415
NW - Ngaka Modiri Molema District Municipality (DC38),Male,60+,2019-09-30,29754.020239
WC - Cape Winelands District Municipality (DC2),Female,0-4,2019-09-30,39058.17352
WC - Cape Winelands District Municipality (DC2),Female,10-14,2019-09-30,38235.86194
WC - Cape Winelands District Municipality (DC2),Female,15-19,2019-09-30,34510.31929
WC - Cape Winelands District Municipality (DC2),Female,18-34,2019-09-30,125456.34009
WC - Cape Winelands District Municipality (DC2),Female,35-49,2019-09-30,96266.13173
WC - Cape Winelands District Municipality (DC2),Female,5-9,2019-09-30,39466.99835
WC - Cape Winelands District Municipality (DC2),Female,50-59,2019-09-30,47720.39765
WC - Cape Winelands District Municipality (DC2),Female,60+,2019-09-30,47973.185952
WC - Cape Winelands District Municipality (DC2),Male,0-4,2019-09-30,40222.46945
WC - Cape Winelands District Municipality (DC2),Male,10-14,2019-09-30,38910.38052
WC - Cape Winelands District Municipality (DC2),Male,15-19,2019-09-30,35007.18774
WC - Cape Winelands District Municipality (DC2),Male,18-34,2019-09-30,134306.83733
WC - Cape Winelands District Municipality (DC2),Male,35-49,2019-09-30,96890.36074
WC - Cape Winelands District Municipality (DC2),Male,5-9,2019-09-30,40352.07709
WC - Cape Winelands District Municipality (DC2),Male,50-59,2019-09-30,39986.10784
WC - Cape Winelands District Municipality (DC2),Male,60+,2019-09-30,34184.281724
WC - Central Karoo District Municipality (DC5),Female,0-4,2019-09-30,3763.604059
WC - Central Karoo District Municipality (DC5),Female,10-14,2019-09-30,4001.694437
WC - Central Karoo District Municipality (DC5),Female,15-19,2019-09-30,3622.654931
WC - Central Karoo District Municipality (DC5),Female,18-34,2019-09-30,9000.352824
WC - Central Karoo District Municipality (DC5),Female,35-49,2019-09-30,6149.003937
WC - Central Karoo District Municipality (DC5),Female,5-9,2019-09-30,3921.788681
WC - Central Karoo District Municipality (DC5),Female,50-59,2019-09-30,3941.655026
WC - Central Karoo District Municipality (DC5),Female,60+,2019-09-30,5497.0525676
WC - Central Karoo District Municipality (DC5),Male,0-4,2019-09-30,3722.848009
WC - Central Karoo District Municipality (DC5),Male,10-14,2019-09-30,3581.22035
WC - Central Karoo District Municipality (DC5),Male,15-19,2019-09-30,3109.003429
WC - Central Karoo District Municipality (DC5),Male,18-34,2019-09-30,8786.487322
WC - Central Karoo District Municipality (DC5),Male,35-49,2019-09-30,5627.762101
WC - Central Karoo District Municipality (DC5),Male,5-9,2019-09-30,3781.331063
WC - Central Karoo District Municipality (DC5),Male,50-59,2019-09-30,2969.808906
WC - Central Karoo District Municipality (DC5),Male,60+,2019-09-30,4066.0240271
WC - City of Cape Town Metropolitan Municipality,Female,0-4,2019-09-30,174889.3423
WC - City of Cape Town Metropolitan Municipality,Female,10-14,2019-09-30,178956.8944
WC - City of Cape Town Metropolitan Municipality,Female,15-19,2019-09-30,156536.5596
WC - City of Cape Town Metropolitan Municipality,Female,18-34,2019-09-30,604517.0457
WC - City of Cape Town Metropolitan Municipality,Female,35-49,2019-09-30,496983.0422
WC - City of Cape Town Metropolitan Municipality,Female,5-9,2019-09-30,182233.0898
WC - City of Cape Town Metropolitan Municipality,Female,50-59,2019-09-30,235895.2424
WC - City of Cape Town Metropolitan Municipality,Female,60+,2019-09-30,262598.63455
WC - City of Cape Town Metropolitan Municipality,Male,0-4,2019-09-30,182324.4778
WC - City of Cape Town Metropolitan Municipality,Male,10-14,2019-09-30,183961.3217
WC - City of Cape Town Metropolitan Municipality,Male,15-19,2019-09-30,158904.9864
WC - City of Cape Town Metropolitan Municipality,Male,18-34,2019-09-30,617813.0699
WC - City of Cape Town Metropolitan Municipality,Male,35-49,2019-09-30,507733.5544
WC - City of Cape Town Metropolitan Municipality,Male,5-9,2019-09-30,189374.0297
WC - City of Cape Town Metropolitan Municipality,Male,50-59,2019-09-30,204858.50248999998
WC - City of Cape Town Metropolitan Municipality,Male,60+,2019-09-30,195083.77096999998
WC - Overberg District Municipality (DC3),Female,0-4,2019-09-30,13557.79462
WC - Overberg District Municipality (DC3),Female,10-14,2019-09-30,11399.34431
WC - Overberg District Municipality (DC3),Female,15-19,2019-09-30,10308.21069
WC - Overberg District Municipality (DC3),Female,18-34,2019-09-30,38383.45209
WC - Overberg District Municipality (DC3),Female,35-49,2019-09-30,28509.01742
WC - Overberg District Municipality (DC3),Female,5-9,2019-09-30,12593.49756
WC - Overberg District Municipality (DC3),Female,50-59,2019-09-30,14166.924237
WC - Overberg District Municipality (DC3),Female,60+,2019-09-30,17218.57283
WC - Overberg District Municipality (DC3),Male,0-4,2019-09-30,14084.32213
WC - Overberg District Municipality (DC3),Male,10-14,2019-09-30,11612.79212
WC - Overberg District Municipality (DC3),Male,15-19,2019-09-30,10419.10829
WC - Overberg District Municipality (DC3),Male,18-34,2019-09-30,41522.1915
WC - Overberg District Municipality (DC3),Male,35-49,2019-09-30,31361.967214
WC - Overberg District Municipality (DC3),Male,5-9,2019-09-30,12843.18731
WC - Overberg District Municipality (DC3),Male,50-59,2019-09-30,13961.707826999998
WC - Overberg District Municipality (DC3),Male,60+,2019-09-30,14140.002564
WC - West Coast District Municipality (DC1),Female,0-4,2019-09-30,20816.21752
WC - West Coast District Municipality (DC1),Female,10-14,2019-09-30,18740.88366
WC - West Coast District Municipality (DC1),Female,15-19,2019-09-30,17047.31872
WC - West Coast District Municipality (DC1),Female,18-34,2019-09-30,61926.38577000001
WC - West Coast District Municipality (DC1),Female,35-49,2019-09-30,46616.161250000005
WC - West Coast District Municipality (DC1),Female,5-9,2019-09-30,19951.76725
WC - West Coast District Municipality (DC1),Female,50-59,2019-09-30,23412.32179
WC - West Coast District Municipality (DC1),Female,60+,2019-09-30,21440.64362
WC - West Coast District Municipality (DC1),Male,0-4,2019-09-30,21152.18552
WC - West Coast District Municipality (DC1),Male,10-14,2019-09-30,19008.7637
WC - West Coast District Municipality (DC1),Male,15-19,2019-09-30,16954.09522
WC - West Coast District Municipality (DC1),Male,18-34,2019-09-30,64187.77583
WC - West Coast District Municipality (DC1),Male,35-49,2019-09-30,47157.94027
WC - West Coast District Municipality (DC1),Male,5-9,2019-09-30,20476.25063
WC - West Coast District Municipality (DC1),Male,50-59,2019-09-30,20541.967439
WC - West Coast District Municipality (DC1),Male,60+,2019-09-30,16531.380045500002
WC- Garden Route (DC4),Female,0-4,2019-09-30,26850.05356
WC- Garden Route (DC4),Female,10-14,2019-09-30,27061.65448
WC- Garden Route (DC4),Female,15-19,2019-09-30,24455.57703
WC- Garden Route (DC4),Female,18-34,2019-09-30,76077.69952
WC- Garden Route (DC4),Female,35-49,2019-09-30,59795.830449999994
WC- Garden Route (DC4),Female,5-9,2019-09-30,26459.83762
WC- Garden Route (DC4),Female,50-59,2019-09-30,35071.24106
WC- Garden Route (DC4),Female,60+,2019-09-30,46529.446171
WC- Garden Route (DC4),Male,0-4,2019-09-30,27295.45772
WC- Garden Route (DC4),Male,10-14,2019-09-30,26867.82369
WC- Garden Route (DC4),Male,15-19,2019-09-30,23303.94382
WC- Garden Route (DC4),Male,18-34,2019-09-30,75449.98706
WC- Garden Route (DC4),Male,35-49,2019-09-30,55182.7663
WC- Garden Route (DC4),Male,5-9,2019-09-30,27135.90464
WC- Garden Route (DC4),Male,50-59,2019-09-30,28429.62922
WC- Garden Route (DC4),Male,60+,2019-09-30,33236.171653
 MP - Ehlanzeni District Municipality (DC32),Female,0-4,2019-10-31,98624.90623
 MP - Ehlanzeni District Municipality (DC32),Female,10-14,2019-10-31,96295.7214
 MP - Ehlanzeni District Municipality (DC32),Female,15-19,2019-10-31,81437.08236
 MP - Ehlanzeni District Municipality (DC32),Female,18-34,2019-10-31,237410.33002
 MP - Ehlanzeni District Municipality (DC32),Female,35-49,2019-10-31,174135.67644
 MP - Ehlanzeni District Municipality (DC32),Female,5-9,2019-10-31,98951.49649
 MP - Ehlanzeni District Municipality (DC32),Female,50-59,2019-10-31,77411.72029
 MP - Ehlanzeni District Municipality (DC32),Female,60+,2019-10-31,90082.91444
 MP - Ehlanzeni District Municipality (DC32),Male,0-4,2019-10-31,100720.0543
 MP - Ehlanzeni District Municipality (DC32),Male,10-14,2019-10-31,96248.95583
 MP - Ehlanzeni District Municipality (DC32),Male,15-19,2019-10-31,80105.72641
 MP - Ehlanzeni District Municipality (DC32),Male,18-34,2019-10-31,227284.15759000002
 MP - Ehlanzeni District Municipality (DC32),Male,35-49,2019-10-31,148465.03634
 MP - Ehlanzeni District Municipality (DC32),Male,5-9,2019-10-31,100043.7082
 MP - Ehlanzeni District Municipality (DC32),Male,50-59,2019-10-31,53185.442290000006
 MP - Ehlanzeni District Municipality (DC32),Male,60+,2019-10-31,50575.510193
EC - Alfred Nzo District Municipality (DC44),Female,0-4,2019-10-31,55795.61538
EC - Alfred Nzo District Municipality (DC44),Female,10-14,2019-10-31,55210.00385
EC - Alfred Nzo District Municipality (DC44),Female,15-19,2019-10-31,44445.89856
EC - Alfred Nzo District Municipality (DC44),Female,18-34,2019-10-31,109284.04493999999
EC - Alfred Nzo District Municipality (DC44),Female,35-49,2019-10-31,59140.67625
EC - Alfred Nzo District Municipality (DC44),Female,5-9,2019-10-31,56961.70537
EC - Alfred Nzo District Municipality (DC44),Female,50-59,2019-10-31,29303.32264
EC - Alfred Nzo District Municipality (DC44),Female,60+,2019-10-31,53309.558389
EC - Alfred Nzo District Municipality (DC44),Male,0-4,2019-10-31,56227.03008
EC - Alfred Nzo District Municipality (DC44),Male,10-14,2019-10-31,53898.61046
EC - Alfred Nzo District Municipality (DC44),Male,15-19,2019-10-31,42023.57588
EC - Alfred Nzo District Municipality (DC44),Male,18-34,2019-10-31,80094.67265
EC - Alfred Nzo District Municipality (DC44),Male,35-49,2019-10-31,34442.164787
EC - Alfred Nzo District Municipality (DC44),Male,5-9,2019-10-31,56812.28965
EC - Alfred Nzo District Municipality (DC44),Male,50-59,2019-10-31,13715.369676
EC - Alfred Nzo District Municipality (DC44),Male,60+,2019-10-31,25449.949076
EC - Amathole District Municipality (DC12),Female,0-4,2019-10-31,41318.37474
EC - Amathole District Municipality (DC12),Female,10-14,2019-10-31,45779.34598
EC - Amathole District Municipality (DC12),Female,15-19,2019-10-31,34007.46416
EC - Amathole District Municipality (DC12),Female,18-34,2019-10-31,82020.53872
EC - Amathole District Municipality (DC12),Female,35-49,2019-10-31,59255.682409999994
EC - Amathole District Municipality (DC12),Female,5-9,2019-10-31,46901.85069
EC - Amathole District Municipality (DC12),Female,50-59,2019-10-31,38276.901320000004
EC - Amathole District Municipality (DC12),Female,60+,2019-10-31,73336.03612
EC - Amathole District Municipality (DC12),Male,0-4,2019-10-31,42793.34218
EC - Amathole District Municipality (DC12),Male,10-14,2019-10-31,49117.32278
EC - Amathole District Municipality (DC12),Male,15-19,2019-10-31,37912.86948
EC - Amathole District Municipality (DC12),Male,18-34,2019-10-31,91471.77326
EC - Amathole District Municipality (DC12),Male,35-49,2019-10-31,53825.27187
EC - Amathole District Municipality (DC12),Male,5-9,2019-10-31,49317.68127
EC - Amathole District Municipality (DC12),Male,50-59,2019-10-31,20692.56562
EC - Amathole District Municipality (DC12),Male,60+,2019-10-31,32660.431093
EC - Buffalo City Metropolitan Municipality,Female,0-4,2019-10-31,29085.27681
EC - Buffalo City Metropolitan Municipality,Female,10-14,2019-10-31,37424.29666
EC - Buffalo City Metropolitan Municipality,Female,15-19,2019-10-31,28840.77057
EC - Buffalo City Metropolitan Municipality,Female,18-34,2019-10-31,86892.93556
EC - Buffalo City Metropolitan Municipality,Female,35-49,2019-10-31,88493.63771
EC - Buffalo City Metropolitan Municipality,Female,5-9,2019-10-31,35661.62489
EC - Buffalo City Metropolitan Municipality,Female,50-59,2019-10-31,47772.59179
EC - Buffalo City Metropolitan Municipality,Female,60+,2019-10-31,59341.339579
EC - Buffalo City Metropolitan Municipality,Male,0-4,2019-10-31,29985.18276
EC - Buffalo City Metropolitan Municipality,Male,10-14,2019-10-31,38399.63028
EC - Buffalo City Metropolitan Municipality,Male,15-19,2019-10-31,29800.81303
EC - Buffalo City Metropolitan Municipality,Male,18-34,2019-10-31,91270.26954000001
EC - Buffalo City Metropolitan Municipality,Male,35-49,2019-10-31,86242.9889
EC - Buffalo City Metropolitan Municipality,Male,5-9,2019-10-31,36767.47851
EC - Buffalo City Metropolitan Municipality,Male,50-59,2019-10-31,35339.125069999995
EC - Buffalo City Metropolitan Municipality,Male,60+,2019-10-31,36734.719058
EC - Chris Hani District Municipality (DC13),Female,0-4,2019-10-31,36989.99217
EC - Chris Hani District Municipality (DC13),Female,10-14,2019-10-31,44074.40332
EC - Chris Hani District Municipality (DC13),Female,15-19,2019-10-31,32373.46201
EC - Chris Hani District Municipality (DC13),Female,18-34,2019-10-31,70021.90646
EC - Chris Hani District Municipality (DC13),Female,35-49,2019-10-31,55490.51687
EC - Chris Hani District Municipality (DC13),Female,5-9,2019-10-31,42505.18855
EC - Chris Hani District Municipality (DC13),Female,50-59,2019-10-31,35084.15077
EC - Chris Hani District Municipality (DC13),Female,60+,2019-10-31,69191.72132
EC - Chris Hani District Municipality (DC13),Male,0-4,2019-10-31,38043.35996
EC - Chris Hani District Municipality (DC13),Male,10-14,2019-10-31,46479.83643
EC - Chris Hani District Municipality (DC13),Male,15-19,2019-10-31,35934.99897
EC - Chris Hani District Municipality (DC13),Male,18-34,2019-10-31,80371.57257
EC - Chris Hani District Municipality (DC13),Male,35-49,2019-10-31,47067.20182
EC - Chris Hani District Municipality (DC13),Male,5-9,2019-10-31,44396.44914
EC - Chris Hani District Municipality (DC13),Male,50-59,2019-10-31,19544.781947
EC - Chris Hani District Municipality (DC13),Male,60+,2019-10-31,35357.108321
EC - Joe Gqabi District Municipality (DC14),Female,0-4,2019-10-31,18651.94119
EC - Joe Gqabi District Municipality (DC14),Female,10-14,2019-10-31,19582.0723
